/home/sjyothiu/.conda/envs/crisis/bin/python
Train Epoch: 1 	Loss: 0.945448 (ε = 0.17, δ = 1e-05)
Train Epoch: 2 	Loss: 0.554585 (ε = 0.23, δ = 1e-05)
Train Epoch: 3 	Loss: 0.543231 (ε = 0.28, δ = 1e-05)
Train Epoch: 4 	Loss: 0.593150 (ε = 0.32, δ = 1e-05)
Train Epoch: 5 	Loss: 0.572689 (ε = 0.35, δ = 1e-05)
Train Epoch: 6 	Loss: 0.599268 (ε = 0.39, δ = 1e-05)
Train Epoch: 7 	Loss: 0.654870 (ε = 0.42, δ = 1e-05)
Train Epoch: 8 	Loss: 0.721036 (ε = 0.45, δ = 1e-05)
Train Epoch: 9 	Loss: 0.819072 (ε = 0.48, δ = 1e-05)
Train Epoch: 10 	Loss: 1.012394 (ε = 0.50, δ = 1e-05)

Test set: Average loss: 0.0011, Accuracy: 9084/10000 (90.84%)

